date,item,unit,min_price,max_price,avg_price
2025-09-25,गोलभेडा ठूलो(भारतीय),केजी,रू ६०.००,रू ७०.००,रू ६५.००
2025-09-25,गोलभेडा सानो(लोकल),के.जी.,रू ३९.००,रू ४९.००,रू ४३.२०
2025-09-25,गोलभेडा सानो(टनेल),के जी,रू ४५.००,रू ६०.००,रू ५५.००
2025-09-25,गोलभेडा सानो(भारतीय),के जी,रू ४०.००,रू ५०.००,रू ४४.४०
2025-09-25,आलु रातो,के.जी.,रू ५०.००,रू ५२.००,रू ५१.२०
2025-09-25,आलु रातो(भारतीय),के जी,रू ३५.००,रू ३७.००,रू ३६.००
2025-09-25,आलु रातो(मुडे),केजी,रू ४३.००,रू ४६.००,रू ४४.५०
2025-09-25,आलु सेतो,के.जी.,रू ३९.००,रू ४१.००,रू ४०.४०
2025-09-25,प्याज सुकेको (भारतीय),के.जी.,रू ४०.००,रू ४४.००,रू ४२.२५
2025-09-25,गाजर(लोकल),के.जी.,रू ११०.००,रू १२०.००,रू ११७.००
2025-09-25,गाजर(तराई),केजी,रू १००.००,रू ११०.००,रू १०७.००
2025-09-25,बन्दा(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४७.६०
2025-09-25,काउली स्थानिय,के.जी.,रू ६०.००,रू ७५.००,रू ६८.००
2025-09-25,मूला रातो,के.जी.,रू ४५.००,रू ५५.००,रू ५१.००
2025-09-25,सेतो मूला(हाइब्रीड),केजी,रू ४०.००,रू ५०.००,रू ४६.६०
2025-09-25,भन्टा लाम्चो,के.जी.,रू १५.००,रू २५.००,रू २१.००
2025-09-25,भन्टा डल्लो,के.जी.,रू ३०.००,रू ४०.००,रू ३४.४०
2025-09-25,बोडी(तने),के.जी.,रू १२०.००,रू १५०.००,रू १३८.००
2025-09-25,मकै बोडी,केजी,रू १००.००,रू ११०.००,रू १०५.००
2025-09-25,मटरकोशा,के.जी.,रू १९०.००,रू २१०.००,रू २००.००
2025-09-25,घिउ सिमी(लोकल),के.जी.,रू १२०.००,रू १४०.००,रू १३०.००
2025-09-25,घिउ सिमी(हाइब्रीड),केजी,रू १००.००,रू १२०.००,रू १११.००
2025-09-25,घिउ सिमी(राजमा),केजी,रू १९०.००,रू २१०.००,रू २०२.००
2025-09-25,भटमासकोशा,के.जी.,रू १००.००,रू ११०.००,रू १०२.००
2025-09-25,तितो करेला,के.जी.,रू ५५.००,रू ७०.००,रू ६०.००
2025-09-25,लौका,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६०
2025-09-25,परवर(लोकल),के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
2025-09-25,परवर(तराई),केजी,रू ७०.००,रू ८०.००,रू ७३.००
2025-09-25,चिचिण्डो,के.जी.,रू ३५.००,रू ४५.००,रू ४०.००
2025-09-25,घिरौला,के.जी.,रू ७५.००,रू ८५.००,रू ८१.००
2025-09-25,झिगूनी,के.जी.,रू ९०.००,रू १००.००,रू ९३.००
2025-09-25,फर्सी पाकेको,के.जी.,रू ६५.००,रू ७५.००,रू ७०.००
2025-09-25,फर्सी हरियो(लाम्चो),के.जी.,रू ५०.००,रू ६०.००,रू ५५.६०
2025-09-25,हरियो फर्सी(डल्लो),केजी,रू ३०.००,रू ४५.००,रू ३५.००
2025-09-25,सलगम,के.जी.,रू ८५.००,रू १००.००,रू ९३.००
2025-09-25,भिण्डी,के.जी.,रू ८०.००,रू ९०.००,रू ८४.००
2025-09-25,सखरखण्ड,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
2025-09-25,पिंडालू,के.जी.,रू ७०.००,रू ८५.००,रू ७७.५०
2025-09-25,स्कूस,के.जी.,रू १२.००,रू २०.००,रू १६.४०
2025-09-25,रायो साग,के.जी.,रू १००.००,रू १२०.००,रू १०८.००
2025-09-25,पालूगो साग,के.जी.,रू ११०.००,रू १३०.००,रू १२२.००
2025-09-25,चमसूरको साग,के.जी.,रू १९०.००,रू २१०.००,रू २००.००
2025-09-25,तोरीको साग,के.जी.,रू ५५.००,रू ६५.००,रू ५९.००
2025-09-25,प्याज हरियो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
2025-09-25,च्याउ(कन्य),के.जी.,रू १७०.००,रू २००.००,रू १८४.००
2025-09-25,च्याउ(डल्ले),के जी,रू ३२०.००,रू ३७०.००,रू ३५२.००
2025-09-25,कुरीलो,के.जी.,रू ३५०.००,रू ४५०.००,रू ४००.००
2025-09-25,न्यूरो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
2025-09-25,ब्रोकाउली,के.जी.,रू १७०.००,रू २००.००,रू १८२.००
2025-09-25,चुकुन्दर,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
2025-09-25,सजिवन,के.जी.,रू २००.००,रू २३०.००,रू २१८.००
2025-09-25,रातो बन्दा,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
2025-09-25,जिरीको साग,के.जी.,रू ८०.००,रू १००.००,रू ९४.००
2025-09-25,सेलरी,के.जी.,रू १८०.००,रू २१०.००,रू २००.००
2025-09-25,पार्सले,के.जी.,रू ६५०.००,रू ८००.००,रू ७४०.००
2025-09-25,सौफको साग,के.जी.,रू १६०.००,रू २५०.००,रू १९०.००
2025-09-25,पुदीना,के.जी.,रू ६००.००,रू ७००.००,रू ६५०.००
